insee	libelle1	libelle2	voie_num	voie_type	voie_nom	local	voie	CPBIBLIO	CEDEXB	BP	ville	DEPT	REGION	population_legale	
59303	bibliotheque			rue	du pilly		rue du pilly	59134			Herlies	59	31	2109	
59305	Livres Evasion		270	Rue de Wormhout		Ecole du val d'yser	270 Rue de Wormhout	59470			Herzeele	59	31	1474	
59307	BIBLIOTHEQUE MUNICIPALE			Route	de Bourbourg		Route de Bourbourg	59143			Holque	59	31	968	
59309	Bibliothèque municipale		17	rue	Lamartine		17 rue Lamartine	59122			Hondschoote	59	31	4069	
59310	Bibliothèque							59570			Hon-Hergies	59	31	837	
59312	bibliothèque municipale		4	rue	de l'Eglise		4 rue de l'Eglise	59266			Honnecourt-sur-Escaut	59	31	794	
59313	Médiathèque Louis Aragon			Rue	des écoles		Rue des écoles	59111			Hordain	59	31	1506	
59314	MEDIATHEQUE MUNICIPALE	MAXENCE VAN DER MEERSCH	14	RUE	JEAN JAURES		14 RUE JEAN JAURES	59171			Hornaing	59	31	3274	
59315	Bibliothèque			rue	des Martyrs		rue des Martyrs	59570			Houdain-lez-Bavay	59	31	859	
59316	MEDIATHEQUE	MARCEL PAGNOL	69	RUE	JEAN JAURES		69 RUE JEAN JAURES	59263			Houplin-Ancoisne	59	31	3532	
59317	BIBLIOTHEQUE MUNICIPALE		51	RUE	ROGER SALENGRO	CENTRE CULTUREL	51 RUE ROGER SALENGRO	59116			Houplines	59	31	7669	
59318	Bibliothèque municipale		12	contour	de l'église		12 contour de l'église	59470			Houtkerque	59	31	867	
59319	Bibliothèque municipale		13	place	de l'église		13 place de l'église	59492			Hoymille	59	31	3193	
59322	Amicale  laïque			rue	Foch		rue Foch	59141			Iwuy	59	31	3195	
59324	MEDIATHEQUE DE JEUMONT				Rue de la Gare		Rue de la Gare	59460			Jeumont	59	31	10099	
